rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
95,frame_0175.jpg,70.0,0.5917,0.6713,0.6667,0.28,9,6,False,False
96,frame_0370.jpg,148.0,0.5914,0.7002,0.7778,0.04,13,7,False,False
97,frame_0022.jpg,8.8,0.5897,0.5128,0.4444,1.0,5,4,False,False
98,frame_0229.jpg,91.6,0.5882,0.6777,0.7778,0.08,9,7,False,False
99,frame_0129.jpg,51.6,0.5857,0.6861,0.2222,0.88,8,2,False,False
100,frame_0008.jpg,3.2,0.5842,0.5684,0.3333,1.0,5,3,False,False
101,frame_0333.jpg,133.2,0.5839,0.7358,0.6667,0.08,12,6,False,False
102,frame_0095.jpg,38.0,0.581,0.8314,0.4444,0.16,9,4,False,False
103,frame_0088.jpg,35.2,0.5808,0.719,0.4444,0.44,9,4,False,False
104,frame_0322.jpg,128.8,0.576,0.7546,0.5556,0.16,9,5,False,False
105,frame_0119.jpg,47.6,0.5753,0.6252,0.5556,0.48,9,5,False,False
106,frame_0193.jpg,77.2,0.5749,0.7204,0.5556,0.24,8,5,False,False
107,frame_0176.jpg,70.4,0.571,0.5794,0.7778,0.24,11,7,False,False
108,frame_0315.jpg,126.0,0.5699,0.8252,0.4444,0.12,11,4,False,False
109,frame_0090.jpg,36.0,0.5676,0.7245,0.4444,0.36,9,4,False,False
110,frame_0384.jpg,153.6,0.5662,0.8018,0.4444,0.16,9,4,False,False
111,frame_0220.jpg,88.0,0.5652,0.7518,0.4444,0.28,10,4,False,False
112,frame_0221.jpg,88.4,0.5646,0.6332,0.6667,0.24,12,6,False,False
113,frame_0319.jpg,127.6,0.5645,0.617,0.6667,0.28,12,6,False,False
114,frame_0123.jpg,49.2,0.564,0.672,0.3333,0.64,7,3,False,False
115,frame_0173.jpg,69.2,0.5628,0.6482,0.5556,0.36,10,5,False,False
116,frame_0373.jpg,149.2,0.5625,0.7276,0.5556,0.16,9,5,False,False
117,frame_0200.jpg,80.0,0.5618,0.7157,0.3333,0.52,3,3,False,False
118,frame_0215.jpg,86.0,0.5612,0.5971,0.5556,0.48,8,5,False,False
119,frame_0375.jpg,150.0,0.5595,0.8391,0.3333,0.2,10,3,False,False
120,frame_0007.jpg,2.8,0.5585,0.517,0.3333,1.0,5,3,False,False
121,frame_0290.jpg,116.0,0.5533,0.52,0.4444,0.8,8,4,False,False
122,frame_0006.jpg,2.4,0.5532,0.5731,0.2222,1.0,7,2,False,False
123,frame_0181.jpg,72.4,0.5531,0.6901,0.6667,0.04,9,6,False,False
124,frame_0125.jpg,50.0,0.553,0.618,0.3333,0.72,6,3,False,False
125,frame_0308.jpg,123.2,0.5527,0.7748,0.4444,0.16,11,4,False,False
126,frame_0223.jpg,89.2,0.5521,0.7069,0.5556,0.16,9,5,False,False
127,frame_0289.jpg,115.6,0.5509,0.5978,0.3333,0.76,9,3,False,False
128,frame_0381.jpg,152.4,0.5505,0.685,0.6667,0.04,11,6,False,False
129,frame_0201.jpg,80.4,0.5497,0.6755,0.3333,0.56,3,3,False,False
130,frame_0286.jpg,114.4,0.5491,0.6422,0.3333,0.64,9,3,False,False
131,frame_0323.jpg,129.2,0.5491,0.5836,0.7778,0.12,10,7,False,False
132,frame_0332.jpg,132.8,0.5491,0.7489,0.5556,0.04,10,5,False,False
133,frame_0297.jpg,118.8,0.5464,0.7194,0.2222,0.6,6,2,False,False
134,frame_0188.jpg,75.2,0.5454,0.6748,0.6667,0.04,9,6,False,False
135,frame_0228.jpg,91.2,0.5442,0.6723,0.6667,0.04,10,6,False,False
136,frame_0086.jpg,34.4,0.5438,0.6796,0.3333,0.52,5,3,False,False
137,frame_0109.jpg,43.6,0.5423,0.7192,0.5556,0.08,14,5,False,False
138,frame_0169.jpg,67.6,0.542,0.676,0.3333,0.52,9,3,False,False
139,frame_0296.jpg,118.4,0.5403,0.5579,0.4444,0.64,7,4,False,False
140,frame_0203.jpg,81.2,0.5396,0.5565,0.4444,0.64,6,4,False,False
141,frame_0303.jpg,121.2,0.5396,0.6685,0.4444,0.36,9,4,False,False
142,frame_0329.jpg,131.6,0.5394,0.8469,0.3333,0.08,13,3,False,False
143,frame_0114.jpg,45.6,0.5387,0.6987,0.4444,0.28,6,4,False,False
144,frame_0171.jpg,68.4,0.5379,0.6332,0.4444,0.44,8,4,False,False
145,frame_0218.jpg,87.2,0.5378,0.6649,0.4444,0.36,8,4,False,False
146,frame_0374.jpg,149.6,0.5368,0.727,0.4444,0.2,10,4,False,False
147,frame_0222.jpg,88.8,0.5354,0.5907,0.6667,0.2,8,6,False,False
148,frame_0327.jpg,130.8,0.535,0.6539,0.6667,0.04,15,6,False,False
149,frame_0023.jpg,9.2,0.5332,0.533,0.2222,1.0,9,2,False,False
150,frame_0202.jpg,80.8,0.5308,0.6216,0.3333,0.6,6,3,False,False
151,frame_0304.jpg,121.6,0.5296,0.7312,0.3333,0.32,8,3,False,False
152,frame_0177.jpg,70.8,0.5286,0.6439,0.5556,0.2,7,5,False,False
153,frame_0283.jpg,113.2,0.5284,0.5822,0.4444,0.52,6,4,False,False
154,frame_0096.jpg,38.4,0.5277,0.674,0.5556,0.12,6,5,False,False
155,frame_0330.jpg,132.0,0.5267,0.7708,0.4444,0.04,10,4,False,False
156,frame_0302.jpg,120.8,0.524,0.6213,0.4444,0.4,10,4,False,False
157,frame_0103.jpg,41.2,0.5226,0.6478,0.5556,0.16,10,5,False,False
158,frame_0018.jpg,7.2,0.5225,0.4451,0.3333,1.0,6,3,False,False
159,frame_0170.jpg,68.0,0.5215,0.651,0.3333,0.48,7,3,False,False
160,frame_0282.jpg,112.8,0.5214,0.5842,0.4444,0.48,8,4,False,False
161,frame_0390.jpg,156.0,0.5209,0.6765,0.5556,0.08,12,5,False,False
162,frame_0307.jpg,122.8,0.5199,0.6931,0.4444,0.2,8,4,False,False
163,frame_0318.jpg,127.2,0.5198,0.8102,0.2222,0.24,10,2,False,False
164,frame_0019.jpg,7.6,0.5169,0.4338,0.3333,1.0,5,3,False,False
165,frame_0011.jpg,4.4,0.5144,0.4955,0.2222,1.0,6,2,False,False
166,frame_0195.jpg,78.0,0.5138,0.5663,0.5556,0.32,7,5,False,False
167,frame_0306.jpg,122.4,0.5136,0.6646,0.4444,0.24,10,4,False,False
168,frame_0112.jpg,44.8,0.5135,0.7471,0.3333,0.2,8,3,False,False
169,frame_0130.jpg,52.0,0.5132,0.5917,0.1111,0.92,5,1,False,False
170,frame_0121.jpg,48.4,0.5119,0.5998,0.3333,0.56,7,3,False,False
171,frame_0105.jpg,42.0,0.5111,0.8569,0.2222,0.08,10,2,False,False
172,frame_0310.jpg,124.0,0.5107,0.5894,0.6667,0.08,10,6,False,False
173,frame_0387.jpg,154.8,0.5106,0.6745,0.4444,0.2,9,4,False,False
174,frame_0115.jpg,46.0,0.5089,0.6898,0.3333,0.32,9,3,False,False
175,frame_0275.jpg,110.0,0.5076,0.6686,0.4444,0.2,9,4,False,False
176,frame_0385.jpg,154.0,0.5076,0.6686,0.4444,0.2,10,4,False,False
177,frame_0085.jpg,34.0,0.506,0.588,0.3333,0.56,9,3,False,False
178,frame_0269.jpg,107.6,0.5053,0.6612,0.5556,0.04,10,5,False,False
179,frame_0376.jpg,150.4,0.5048,0.7456,0.3333,0.16,10,3,False,False
180,frame_0012.jpg,4.8,0.5038,0.4076,0.3333,1.0,5,3,False,False
181,frame_0083.jpg,33.2,0.5038,0.5517,0.3333,0.64,8,3,False,False
182,frame_0210.jpg,84.0,0.5033,0.5346,0.3333,0.68,6,3,False,False
183,frame_0216.jpg,86.4,0.5014,0.6269,0.3333,0.44,8,3,False,False
184,frame_0084.jpg,33.6,0.4988,0.5576,0.3333,0.6,5,3,False,False
185,frame_0168.jpg,67.2,0.498,0.7053,0.1111,0.56,6,1,False,False
186,frame_0233.jpg,93.2,0.497,0.6313,0.4444,0.24,9,4,False,False
187,frame_0273.jpg,109.2,0.4954,0.6095,0.5556,0.12,8,5,False,False
188,frame_0100.jpg,40.0,0.4951,0.7742,0.3333,0.04,8,3,False,False
189,frame_0268.jpg,107.2,0.4927,0.6201,0.5556,0.08,7,5,False,False
190,frame_0280.jpg,112.0,0.4927,0.6254,0.3333,0.4,8,3,False,False
191,frame_0122.jpg,48.8,0.4925,0.6117,0.2222,0.6,5,2,False,False
192,frame_0087.jpg,34.8,0.4911,0.5902,0.3333,0.48,8,3,False,False
193,frame_0101.jpg,40.4,0.4911,0.6835,0.4444,0.08,9,4,False,False
194,frame_0020.jpg,8.0,0.4909,0.5151,0.1111,1.0,5,1,False,False
195,frame_0298.jpg,119.2,0.4902,0.6898,0.1111,0.56,7,1,False,False
196,frame_0205.jpg,82.0,0.4892,0.4237,0.4444,0.72,5,4,False,False
197,frame_0108.jpg,43.2,0.4881,0.6935,0.4444,0.04,12,4,False,False
198,frame_0305.jpg,122.0,0.4877,0.6635,0.3333,0.28,5,3,False,False
199,frame_0178.jpg,71.2,0.485,0.6393,0.4444,0.16,8,4,False,False
200,frame_0314.jpg,125.6,0.4836,0.7353,0.3333,0.08,9,3,False,False
201,frame_0017.jpg,6.8,0.482,0.4306,0.2222,1.0,7,2,False,False
202,frame_0206.jpg,82.4,0.4799,0.4558,0.3333,0.76,6,3,False,False
203,frame_0309.jpg,123.6,0.4777,0.6408,0.4444,0.12,10,4,False,False
204,frame_0217.jpg,86.8,0.4746,0.5226,0.4444,0.4,5,4,False,False
205,frame_0094.jpg,37.6,0.4737,0.6008,0.4444,0.2,8,4,False,False
206,frame_0184.jpg,73.6,0.4732,0.7144,0.3333,0.08,9,3,False,False
207,frame_0219.jpg,87.6,0.4704,0.6128,0.3333,0.32,7,3,False,False
208,frame_0098.jpg,39.2,0.4678,0.653,0.4444,0.04,10,4,False,False
209,frame_0226.jpg,90.4,0.4646,0.6466,0.4444,0.04,9,4,False,False
210,frame_0394.jpg,157.6,0.4617,0.6247,0.4444,0.08,11,4,False,False
211,frame_0397.jpg,158.8,0.4582,0.7031,0.2222,0.2,11,2,False,False
212,frame_0104.jpg,41.6,0.4578,0.7343,0.2222,0.12,9,2,False,False
213,frame_0106.jpg,42.4,0.4515,0.687,0.3333,0.04,8,3,False,False
214,frame_0281.jpg,112.4,0.4482,0.587,0.2222,0.44,8,2,False,False
215,frame_0009.jpg,3.6,0.4418,0.3503,0.2222,1.0,4,2,False,False
216,frame_0371.jpg,148.4,0.4418,0.585,0.4444,0.08,7,4,False,False
217,frame_0213.jpg,85.2,0.4411,0.4583,0.3333,0.56,6,3,False,False
218,frame_0225.jpg,90.0,0.4401,0.5815,0.4444,0.08,9,4,False,False
219,frame_0295.jpg,118.0,0.4395,0.4736,0.2222,0.68,6,2,False,False
220,frame_0010.jpg,4.0,0.439,0.4113,0.1111,1.0,4,1,False,False
221,frame_0124.jpg,49.6,0.4323,0.4593,0.2222,0.68,9,2,False,False
222,frame_0025.jpg,10.0,0.4311,0.3956,0.1111,1.0,6,1,False,False
223,frame_0091.jpg,36.4,0.43,0.532,0.3333,0.32,9,3,False,False
224,frame_0399.jpg,159.6,0.4299,0.4812,0.4444,0.28,8,4,False,False
225,frame_0393.jpg,157.2,0.4296,0.5766,0.4444,0.04,6,4,False,False
226,frame_0372.jpg,148.8,0.4251,0.5356,0.4444,0.12,10,4,False,False
227,frame_0183.jpg,73.2,0.4245,0.6996,0.2222,0.04,6,2,False,False
228,frame_0267.jpg,106.8,0.4245,0.6011,0.3333,0.12,6,3,False,False
229,frame_0324.jpg,129.6,0.4186,0.6053,0.3333,0.08,9,3,False,False
230,frame_0232.jpg,92.8,0.4154,0.4842,0.4444,0.2,7,4,False,False
231,frame_0093.jpg,37.2,0.414,0.3986,0.5556,0.24,7,5,False,False
232,frame_0097.jpg,38.8,0.4123,0.6592,0.2222,0.08,10,2,False,False
233,frame_0189.jpg,75.6,0.4098,0.5876,0.3333,0.08,6,3,False,False
234,frame_0211.jpg,84.4,0.4048,0.4203,0.2222,0.64,6,2,False,False
235,frame_0174.jpg,69.6,0.4016,0.6086,0.1111,0.32,8,1,False,False
236,frame_0180.jpg,72.0,0.401,0.5033,0.4444,0.08,9,4,False,False
237,frame_0199.jpg,79.6,0.3969,0.4684,0.2222,0.48,4,2,False,False
238,frame_0110.jpg,44.0,0.3943,0.474,0.4444,0.12,8,4,False,False
239,frame_0204.jpg,81.6,0.3933,0.3812,0.2222,0.68,5,2,False,False
240,frame_0212.jpg,84.8,0.3722,0.3044,0.3333,0.6,7,3,False,False
241,frame_0214.jpg,85.6,0.3683,0.3953,0.2222,0.52,5,2,False,False
242,frame_0382.jpg,152.8,0.3638,0.429,0.4444,0.08,8,4,False,False
243,frame_0209.jpg,83.6,0.3634,0.4388,0.0,0.72,5,0,False,False
244,frame_0311.jpg,124.4,0.352,0.4214,0.4444,0.04,8,4,False,False
245,frame_0102.jpg,40.8,0.35,0.452,0.3333,0.12,9,3,False,False
246,frame_0092.jpg,36.8,0.343,0.4406,0.2222,0.28,6,2,False,False
247,frame_0196.jpg,78.4,0.3356,0.4605,0.1111,0.36,3,1,False,False
248,frame_0111.jpg,44.4,0.334,0.4707,0.2222,0.16,8,2,False,False
249,frame_0197.jpg,78.8,0.3134,0.4002,0.1111,0.4,2,1,False,False
250,frame_0272.jpg,108.8,0.3018,0.4382,0.2222,0.08,5,2,False,False
251,frame_0383.jpg,153.2,0.2835,0.3857,0.2222,0.12,5,2,False,False
252,frame_0271.jpg,108.4,0.2683,0.454,0.1111,0.04,6,1,False,False
253,frame_0190.jpg,76.0,0.2376,0.3605,0.1111,0.12,10,1,False,False
254,frame_0224.jpg,89.6,0.2219,0.3958,0.0,0.12,7,0,False,False
255,frame_0198.jpg,79.2,0.2206,0.2652,0.0,0.44,5,0,False,False
256,frame_0313.jpg,125.2,0.2192,0.4224,0.0,0.04,7,0,False,False
